"id","targetSmiles","batchId","status","result","reactionCount","price","timedOut","startedAt","finishedAt","order","runningTime","targetMetadata"
"b65769cd-2e9d-4583-b213-ea9abaab2e16","CC(CO)NC1=NSC=C1C1(C)OCC(C)O1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",2.97165192494225,2,5807.192343621947,TRUE,"""2024-07-09T11:56:46.409Z""","""2024-07-09T12:02:50.493Z""",43,364,"null"
"ebdfdc69-d950-431f-beb9-37d525692ce8","CC1CC(O)C2=C(CC3CCC3)N=NN12","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",2.621191457635594,3,1179.694669609193,TRUE,"""2024-07-09T11:59:16.015Z""","""2024-07-09T12:08:43.895Z""",52,567,"null"
"5b6e75b6-6ce1-4086-a1b6-006a619c74bc","CCN(C)C(C)(C)C1=NN(CC(C)C)N=C1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",2.797724400161559,2,32.68287198021939,TRUE,"""2024-07-09T11:55:47.065Z""","""2024-07-09T11:57:40.565Z""",68,113,"null"
"790c155b-5a0e-4232-aa33-b48e00ee7953","CCCC(O)C1=CC=NC=C1C1N=COC1C","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",2.727591809570684,2,140.2670501826999,FALSE,"""2024-07-09T11:55:56.886Z""","""2024-07-09T12:11:33.901Z""",363,937,"null"
"f861a705-ab92-4da2-b4df-e5174942cdb0","CCC1CC1C1OC(CC)S(=O)(=O)C1C#N","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",2.700686175965178,1,1144.679445259258,TRUE,"""2024-07-09T11:59:42.002Z""","""2024-07-09T12:01:09.457Z""",436,87,"null"
"50fee985-21d6-41ad-bdb9-7d2701b45d3e","CCC1(O)CC(C2=NOC=C2)C2=C1OC(C)=C2","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",2.868340998364088,3,686.6166227992103,TRUE,"""2024-07-09T11:55:45.811Z""","""2024-07-09T12:10:18.676Z""",644,872,"null"
"c93c8129-916b-480f-888f-bc5cc4130ba5","CCN(C1=NC(CO)=CC=C1Cl)C(C)(C)C","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",2.908670262102916,2,60.48700040724612,FALSE,"""2024-07-09T11:57:26.766Z""","""2024-07-09T12:08:59.602Z""",651,692,"null"
"cb53093b-3d60-4a85-b877-617cb8f41d1e","CN1CC(C1)C1=CC=C(Cl)C2=C1C=CO2","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",2.854475664415125,3,577,FALSE,"""2024-07-09T11:57:29.549Z""","""2024-07-09T12:11:23.142Z""",698,833,"null"
"485e6ad6-1ad3-4d00-9e02-4ffb595932d0","CCC(C)N(CC1=CN=CO1)CC1=CNC=C1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",1.901888823688185,2,74.10476589868063,FALSE,"""2024-07-09T11:55:44.004Z""","""2024-07-09T12:15:07.882Z""",869,1163,"null"
"4b4390ff-4fda-436a-a6cf-b0a95536525f","CC(OC1=CC=CN=C1C1=NC(C)=NO1)C#N","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",2.708160190104694,2,41.63031698401094,TRUE,"""2024-07-09T11:55:44.476Z""","""2024-07-09T12:15:31.927Z""",986,1187,"null"
"47250fe2-cd6c-490b-beb9-53950ad51137","CC1=C(C)N(N=C1)C1=CC2=C(CCCN2)N1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.066945599422219,2,14.21086580285189,FALSE,"""2024-07-09T11:55:41.848Z""","""2024-07-09T12:11:57.413Z""",36,975,"null"
"17cbdc2f-bfb2-4452-af4f-1d5d8955a586","CCC(C)CC1=CCOC2=CN=CC=C12","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.589928267526092,2,1059.478944114939,FALSE,"""2024-07-09T11:55:36.025Z""","""2024-07-09T12:16:19.250Z""",125,1243,"null"
"6d90a3a5-16ae-4cb7-884b-2d1ae54882b5","CC1OC(C)(C)OC2=C1C=C(O)C(C)=C2","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.697746347084821,2,1863.901000648749,FALSE,"""2024-07-09T11:55:51.642Z""","""2024-07-09T12:13:22.496Z""",173,1050,"null"
"07adf764-d091-4f4b-9321-0420e99ef57d","CCCOC1CCC(CC1C)NCC(C)C#N","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.011318040691373,2,792.6705168689541,TRUE,"""2024-07-09T11:55:30.455Z""","""2024-07-09T12:09:12.689Z""",258,822,"null"
"c3f770cc-7442-475a-ab26-433481c75208","CCCOC1=CN=C2CCC(C)C2=N1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.547527433092886,3,23,TRUE,"""2024-07-09T11:57:07.822Z""","""2024-07-09T11:58:39.506Z""",271,91,"null"
"8e69de66-4b65-4ac8-aef7-69905791599f","CC1(C)C2CC(O)C1(C)C(C2)OC1=NC=NS1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.8268371979412,2,44,TRUE,"""2024-07-09T11:56:10.196Z""","""2024-07-09T11:57:55.764Z""",546,105,"null"
"494faff0-378d-4242-8ef8-fcd50ecea154","CC1(COCCO1)OC1=NC2CCC1C2","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.358882255033437,2,145,TRUE,"""2024-07-09T11:55:44.298Z""","""2024-07-09T12:00:29.854Z""",578,285,"null"
"79a4c7ca-f0ae-4b44-afbf-359e307c73fa","CC1OCOC1(C)C(CN1C=CC(C)=C1)C#N","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.481856430947195,3,68,TRUE,"""2024-07-09T11:55:57.147Z""","""2024-07-09T12:00:56.685Z""",596,299,"null"
