"id","targetSmiles","batchId","status","result","reactionCount","price","timedOut","startedAt","finishedAt","order","runningTime","targetMetadata"
"4611516b-8d17-47e5-a857-57a7e305b9de","CC(N)(C1=NC(=N)C=CC(=O)S1)C1(C)CC1","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T06:53:58.174Z""","""2024-07-10T06:54:13.604Z""",7571,15,"null"
"1e62a061-ff3d-4ab4-8e7b-54097d361a10","CC(C)C1=CC(CN)=CSC(=O)C=C(C)O1","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T06:34:07.939Z""","""2024-07-10T06:37:36.640Z""",7572,208,"null"
"fd3443ee-85e5-486b-9a1f-46da738d076f","CC1CC2COC(C)CCC(CCN1)C(C)N2","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T08:12:06.463Z""","""2024-07-10T08:12:21.239Z""",7573,14,"null"
"2048869f-c304-4ccc-a85f-18f260772fd5","CCC1CC2(NC(C)C(C)C2(C)O1)C(C)(C)N","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T06:34:47.295Z""","""2024-07-10T06:36:48.182Z""",7574,120,"null"
"9652fb83-9db1-4b09-a7a6-d3f18da5f6ca","CC1CC(CO)CNC(C)C2OC1C2(C)C","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:29:37.020Z""","""2024-07-10T07:29:51.509Z""",7575,14,"null"
"f1d38778-9199-4d66-9af2-6f120ab69f67","CCC(C)(C#N)C1=C2CCC3=C(C)SC(=N1)N23","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T08:07:17.437Z""","""2024-07-10T08:07:25.423Z""",7576,7,"null"
"2a115fd4-4ec6-4eef-85e9-5ac21517a63c","CC1CNCC(C)(N)CC2=C(CO)SC(C)=C12","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",FALSE,"""2024-07-10T06:42:18.573Z""","""2024-07-10T06:53:31.438Z""",7577,672,"null"
"3a4b24f5-17bb-4203-b2bd-4af4bb035fee","CCCC1C2OCOC(C(C)N)C2NC1(C)C","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T06:49:25.102Z""","""2024-07-10T06:50:13.022Z""",7578,47,"null"
"6872a8a6-5587-48cc-8639-6a786b988799","CCCC1=C(OC)SC(=O)N1C(CN)C(C)O","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",9.47157931357669,6,180,TRUE,"""2024-07-10T07:10:04.789Z""","""2024-07-10T07:16:11.674Z""",7579,366,"null"
"8be3f0a8-b846-45b7-ac12-10767ef2b730","CCC1(CC2=CN=CN2)CC(C)(O)C1C","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",8.758170400505605,6,5752.062018380575,FALSE,"""2024-07-10T07:24:24.420Z""","""2024-07-10T07:46:48.438Z""",7580,1344,"null"
"162252cb-e97d-43d9-8571-07401b5da560","CC1=CC(C#N)C2OC3CCC(=C1)C1C3C21","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T06:33:04.210Z""","""2024-07-10T06:33:10.549Z""",7581,6,"null"
"213b517a-6573-46ea-9543-25194d6f8d10","CC1=CC(C)=CC(=O)C(=N)C(C)=CN=C(O)S1","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T06:35:11.602Z""","""2024-07-10T06:35:17.075Z""",7582,5,"null"
"aaadc7e2-2017-4f2c-9cdb-bf75b64915d4","CCC(C)(CC)C(N)CC1CC(CN)CC1N","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:37:43.282Z""","""2024-07-10T07:39:40.533Z""",7583,117,"null"
"61da2600-8bf9-4395-b13d-a46acccb8859","CCC1(CN)CCNCC(CC)(CC(C)C)N1","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",9.298994442616536,6,1443.775697569474,FALSE,"""2024-07-10T07:07:13.612Z""","""2024-07-10T07:19:02.934Z""",7584,709,"null"
"8224842d-b889-4c87-8b1e-6d879c39d662","CCN1C(C)C(N)(CC)C(NC)C1CC(C)C","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:20:34.656Z""","""2024-07-10T07:20:55.509Z""",7585,20,"null"
"b9269748-0da8-4c12-a51e-512e3918b13f","CC(C)C1C2C(N)C=CC=CC(C)NC12C","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:44:44.945Z""","""2024-07-10T07:45:02.714Z""",7586,17,"null"
"8585fe76-a38d-424e-a29f-642953bd85b5","CC1=C2OC(=NC3=NNC=N3)N=C(F)C2=CO1","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:21:59.623Z""","""2024-07-10T07:22:37.220Z""",7587,37,"null"
"3e5be238-dbbc-4365-b97c-bcc76f7bd966","CC1CC2CCC(C3CN1C1=CC=CN31)N2C","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T06:51:05.535Z""","""2024-07-10T06:52:37.433Z""",7588,91,"null"
"cac8c95b-f053-4323-aa17-bfae2efa46e7","CC(C)(CN=C1NC=CO1)C1=NON=NC1=O","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:51:31.518Z""","""2024-07-10T07:51:54.207Z""",7589,22,"null"
"90cfdb64-facb-4856-92aa-77f07f068449","CC(C)CCC(O)C12CCC(O1)C(C)O2","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:27:09.557Z""","""2024-07-10T07:27:24.965Z""",7590,15,"null"
"da4780be-32d5-44df-a5ad-7b4a1485c4c5","CCC1=CC2=CC(O)=C3C=NC=C(C)C=C1N23","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:58:17.561Z""","""2024-07-10T07:58:21.588Z""",7591,4,"null"
"5b0665ef-3de9-423c-877a-01db11134147","CCC(C)C1CC(N1)C1CCC(OC)C1N","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:03:16.838Z""","""2024-07-10T07:03:30.864Z""",7592,14,"null"
"ceaa4e88-258b-45a1-846f-0a1d3545bb22","CCNC1C(C)C(C)C2C3(C)CCC(C3)C12O","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:53:10.958Z""","""2024-07-10T07:55:04.554Z""",7593,113,"null"
"5dd37d8f-d6e0-4375-ad1d-215e1ee373ef","CC1OC2=C(OC1(C)C1=NC=C(C)O1)N=CN2","820ee240-c698-472c-9d8d-4bf932f8bc4a","ok",10,"null","null",TRUE,"""2024-07-10T07:05:10.797Z""","""2024-07-10T07:06:19.713Z""",7594,68,"null"
